test,ocaml_time_s,anim_time_s,ocaml_passed,ocaml_total,anim_passed,anim_total
test-interpreter/spec-test-3/labels.wast,0.00471,1.04882,30,30,30,30
test-interpreter/spec-test-3/left-to-right.wast,0.31455,7.16011,97,97,97,97
test-interpreter/spec-test-3/linking.wast,0.11407,1.46900,182,182,182,182
test-interpreter/spec-test-3/load.wast,0.01515,0.75988,85,85,85,85
test-interpreter/spec-test-3/local_get.wast,0.00353,0.46611,37,37,37,37
test-interpreter/spec-test-3/local_init.wast,0.00042,0.08616,12,12,12,12
test-interpreter/spec-test-3/local_set.wast,0.00267,0.43229,54,54,54,54
test-interpreter/spec-test-3/local_tee.wast,0.08302,1.35871,99,99,99,99
test-interpreter/spec-test-3/loop.wast,0.07357,9.60811,107,107,107,107
test-interpreter/spec-test-3/memory.wast,0.03654,0.80494,98,98,98,98
test-interpreter/spec-test-3/memory64/address64.wast,0.09124,2.18608,246,246,246,246
test-interpreter/spec-test-3/memory64/align64.wast,0.03805,2.71401,137,137,137,137
test-interpreter/spec-test-3/memory64/binary_leb128_64.wast,0.00011,0.00920,2,2,2,2
test-interpreter/spec-test-3/memory64/bulk64.wast,2.37751,3.16615,74,74,74,74
test-interpreter/spec-test-3/memory64/call_indirect64.wast,0.00023,0.03537,3,3,3,3
test-interpreter/spec-test-3/memory64/endianness64.wast,0.07263,3.33299,70,70,70,70
test-interpreter/spec-test-3/memory64/float_memory64.wast,0.04179,0.81549,96,96,96,96
test-interpreter/spec-test-3/memory64/load64.wast,0.01322,0.75434,85,85,85,85
test-interpreter/spec-test-3/memory64/memory64-imports.wast,0.01296,0.19227,110,110,110,110
test-interpreter/spec-test-3/memory64/memory64.wast,0.02710,0.72948,78,78,78,78
test-interpreter/spec-test-3/memory64/memory_copy64.wast,1.75483,28.70089,4233,4233,4233,4233
test-interpreter/spec-test-3/memory64/memory_fill64.wast,1.14495,6.28017,102,102,102,102
test-interpreter/spec-test-3/memory64/memory_grow64.wast,3.30794,1.19896,42,42,42,42
test-interpreter/spec-test-3/memory64/memory_init64.wast,0.13373,2.23285,279,279,279,279
test-interpreter/spec-test-3/memory64/memory_redundancy64.wast,0.00822,0.19984,9,9,9,9
test-interpreter/spec-test-3/memory64/memory_trap64.wast,0.07211,1.46737,174,174,174,174
test-interpreter/spec-test-3/memory64/table64.wast,0.00036,0.06692,25,25,25,25
test-interpreter/spec-test-3/memory64/table_copy64.wast,0.11704,25.91775,1779,1779,1779,1779
test-interpreter/spec-test-3/memory64/table_copy_mixed.wast,0.00019,0.04573,5,5,5,5
test-interpreter/spec-test-3/memory64/table_fill64.wast,0.00297,0.63638,81,81,81,81
test-interpreter/spec-test-3/memory64/table_get64.wast,0.00067,0.13913,12,12,12,12
test-interpreter/spec-test-3/memory64/table_grow64.wast,0.00088,0.17697,23,23,23,23
test-interpreter/spec-test-3/memory64/table_init64.wast,0.06330,14.03878,931,931,931,931
test-interpreter/spec-test-3/memory64/table_set64.wast,0.00103,0.20557,20,20,20,20
test-interpreter/spec-test-3/memory64/table_size64.wast,0.00108,0.27209,38,38,38,38
test-interpreter/spec-test-3/memory_grow.wast,4.26924,2.05385,101,101,101,101
test-interpreter/spec-test-3/memory_redundancy.wast,0.01094,0.20062,9,9,9,9
test-interpreter/spec-test-3/memory_size.wast,0.17556,0.32881,46,46,46,46
test-interpreter/spec-test-3/memory_trap.wast,0.08480,1.63433,184,184,184,184
test-interpreter/spec-test-3/multi-memory/address0.wast,0.02932,0.86089,93,93,93,93
test-interpreter/spec-test-3/multi-memory/address1.wast,0.03917,1.16684,128,128,128,128
test-interpreter/spec-test-3/multi-memory/align0.wast,0.00425,0.20884,6,6,6,6
test-interpreter/spec-test-3/multi-memory/binary0.wast,0.04197,0.03487,10,10,10,10
test-interpreter/spec-test-3/multi-memory/data0.wast,0.03593,0.40509,14,14,14,14
test-interpreter/spec-test-3/multi-memory/data1.wast,0.10405,0.12342,28,28,28,28
test-interpreter/spec-test-3/multi-memory/data_drop0.wast,0.00623,0.10803,12,12,12,12
test-interpreter/spec-test-3/multi-memory/exports0.wast,0.01943,0.04138,16,16,16,16
test-interpreter/spec-test-3/multi-memory/float_exprs0.wast,0.00911,0.20149,15,15,15,15
test-interpreter/spec-test-3/multi-memory/float_exprs1.wast,0.42338,14.90360,4,4,4,4
test-interpreter/spec-test-3/multi-memory/float_memory0.wast,0.01611,0.33621,32,32,32,32
test-interpreter/spec-test-3/multi-memory/imports0.wast,0.00838,0.05471,8,8,8,8
test-interpreter/spec-test-3/multi-memory/imports1.wast,0.00176,0.04896,6,6,6,6
test-interpreter/spec-test-3/multi-memory/imports2.wast,0.01304,0.12609,24,24,24,24
test-interpreter/spec-test-3/multi-memory/imports3.wast,0.00813,0.05650,10,10,10,10
test-interpreter/spec-test-3/multi-memory/imports4.wast,0.04003,0.11724,18,18,18,18
test-interpreter/spec-test-3/multi-memory/linking0.wast,0.00184,0.10100,7,7,7,7
test-interpreter/spec-test-3/multi-memory/linking1.wast,0.01545,0.22314,19,19,19,19
test-interpreter/spec-test-3/multi-memory/linking2.wast,0.04999,0.14038,12,12,12,12
test-interpreter/spec-test-3/multi-memory/linking3.wast,0.05245,0.24016,17,17,17,17
test-interpreter/spec-test-3/multi-memory/load0.wast,0.00537,0.03815,4,4,4,4
test-interpreter/spec-test-3/multi-memory/load1.wast,0.02664,0.17464,19,19,19,19
test-interpreter/spec-test-3/multi-memory/load2.wast,0.01323,0.75984,39,39,39,39
test-interpreter/spec-test-3/multi-memory/memory-multi.wast,0.01263,0.13894,8,8,8,8
test-interpreter/spec-test-3/multi-memory/memory_copy0.wast,2.06319,2.80368,30,30,30,30
test-interpreter/spec-test-3/multi-memory/memory_copy1.wast,2.15084,2.89107,15,15,15,15
test-interpreter/spec-test-3/multi-memory/memory_fill0.wast,0.00668,0.14003,16,16,16,16
test-interpreter/spec-test-3/multi-memory/memory_grow.wast,0.14460,0.41678,53,53,53,53
test-interpreter/spec-test-3/multi-memory/memory_init0.wast,0.01962,0.15245,14,14,14,14
test-interpreter/spec-test-3/multi-memory/memory_size0.wast,0.01968,0.07249,9,9,9,9
test-interpreter/spec-test-3/multi-memory/memory_size1.wast,0.02369,0.12276,16,16,16,16
test-interpreter/spec-test-3/multi-memory/memory_size2.wast,0.00731,0.18166,22,22,22,22
test-interpreter/spec-test-3/multi-memory/memory_size3.wast,0.00002,0.00584,2,2,2,2
test-interpreter/spec-test-3/multi-memory/memory_size_import.wast,0.01461,0.05382,8,8,8,8
test-interpreter/spec-test-3/multi-memory/memory_trap0.wast,0.00957,0.24185,15,15,15,15
test-interpreter/spec-test-3/multi-memory/memory_trap1.wast,0.05297,1.46593,169,169,169,169
test-interpreter/spec-test-3/multi-memory/start0.wast,0.00695,0.12808,10,10,10,10
test-interpreter/spec-test-3/multi-memory/store0.wast,0.00319,0.06151,6,6,6,6
test-interpreter/spec-test-3/multi-memory/store1.wast,0.00496,0.13421,14,14,14,14
test-interpreter/spec-test-3/multi-memory/store2.wast,0.03446,0.37842,26,26,26,26
test-interpreter/spec-test-3/multi-memory/traps0.wast,0.00646,0.22032,16,16,16,16
test-interpreter/spec-test-3/names.wast,0.25937,3.08659,489,490,490,490
test-interpreter/spec-test-3/nop.wast,0.07539,1.32586,89,89,89,89
test-interpreter/spec-test-3/obsolete-keywords.wast,0.00000,0.00000,0,0,0,0
test-interpreter/spec-test-3/ref.wast,0.00013,0.02646,14,14,14,14
test-interpreter/spec-test-3/ref_as_non_null.wast,0.00053,0.11627,9,9,9,9
test-interpreter/spec-test-3/ref_func.wast,0.00159,0.31128,22,22,22,22
test-interpreter/spec-test-3/ref_is_null.wast,0.00161,0.32798,24,24,24,24
test-interpreter/spec-test-3/ref_null.wast,0.00159,0.37201,36,36,36,36
test-interpreter/spec-test-3/return.wast,0.00758,0.98407,85,85,85,85
test-interpreter/spec-test-3/return_call.wast,0.11670,21.71627,44,45,45,45
test-interpreter/spec-test-3/return_call_indirect.wast,0.06629,9.59729,66,67,67,67
test-interpreter/spec-test-3/return_call_ref.wast,0.08869,21.08015,51,51,51,51
test-interpreter/spec-test-3/select.wast,0.05229,2.04441,160,160,160,160
test-interpreter/spec-test-3/skip-stack-guard-page.wast,164.92547,1404.00000,12,12,12,12
test-interpreter/spec-test-3/stack.wast,0.00606,1.51977,9,9,9,9
test-interpreter/spec-test-3/start.wast,0.12780,0.25541,22,25,25,25
test-interpreter/spec-test-3/store.wast,0.00481,0.34856,62,62,62,62
test-interpreter/spec-test-3/switch.wast,0.00407,0.92345,29,29,29,29
test-interpreter/spec-test-3/table.wast,0.06357,0.19597,59,59,59,59
test-interpreter/spec-test-3/table_get.wast,0.00080,0.14510,17,17,17,17
test-interpreter/spec-test-3/table_set.wast,0.00112,0.23055,27,27,27,27
test-interpreter/spec-test-3/table_size.wast,0.00115,0.27743,40,40,40,40
test-interpreter/spec-test-3/token.wast,0.00230,0.19772,70,70,70,70
test-interpreter/spec-test-3/traps.wast,0.00519,0.48328,40,40,40,40
test-interpreter/spec-test-3/type-canon.wast,0.00017,0.05836,4,4,4,4
test-interpreter/spec-test-3/type-equivalence.wast,0.00621,1.50008,47,47,47,47
test-interpreter/spec-test-3/type-rec.wast,0.00156,0.31986,37,37,37,37
test-interpreter/spec-test-3/type.wast,0.00045,0.06362,2,2,2,2
test-interpreter/spec-test-3/unreachable.wast,0.00691,0.85468,65,65,65,65
test-interpreter/spec-test-3/unreached-invalid.wast,0.00035,0.59667,121,121,121,121
test-interpreter/spec-test-3/unreached-valid.wast,0.00131,0.22925,16,16,16,16
test-interpreter/spec-test-3/unwind.wast,0.00557,0.95547,51,51,51,51
test-interpreter/spec-test-3/utf8-custom-section-id.wast,0.00005,0.00004,0,0,0,0
test-interpreter/spec-test-3/utf8-import-field.wast,0.00005,0.00004,0,0,0,0
test-interpreter/spec-test-3/utf8-import-module.wast,0.00005,0.00004,0,0,0,0
test-interpreter/spec-test-3/utf8-invalid-encoding.wast,0.00006,0.00004,0,0,0,0
